protein,sim_T(K),exp_T_used(K),exp_T_exact,exp_C_sat,exp_C_sat_std,sim_C_sat,sim_C_sat_sem_block,sim_C_sat_std_block,sim_C_sat_std_frame_reference,n_retained_frames,n_blocks,core_z_min,core_z_max
A1-LCD-12F+12Y,293.0,293.0,True,0.0610455669374779,,2.9761946472019467e-05,2.733530141009565e-06,6.112359213841973e-06,1.1894148911942095e-05,100,5,137.38150882720947,159.98755588531495
A1-LCD-9F+6Y,293.0,293.0,True,0.3418125498662412,,8.804710462287104e-05,4.554884910598831e-06,1.0185032289787038e-05,2.3630464939709904e-05,100,5,137.09023418426514,159.8511024093628
A1-LCD-8F+4Y,293.0,293.0,True,0.695681648701783,,0.0004233732360097323,9.132700334647257e-06,2.0421338766406345e-05,3.646374837515843e-05,100,5,137.56034297943114,160.3562685775757
A1-LCD+7F-7Y,298.0,298.0,True,0.4528267943823931,,0.0004680969343065695,3.0184326642586657e-06,6.749420622788177e-06,1.7716206485621097e-05,100,5,137.06851520538328,159.88147998809814
A1-LCD-NLS,297.0,297.0,True,0.1460956642164695,,0.0001546156690997567,1.0384570795100072e-05,2.3220606215002802e-05,3.596709205375534e-05,100,5,138.47540687561036,161.31180152893066
A1-LCD+7R+12D,298.0,298.0,True,0.015675,,3.383552311435523e-05,2.6152085573638976e-06,5.847784109604834e-06,1.0861076908200328e-05,100,5,138.18914413452148,160.84757308959962
A1-LCD+7R+10D,293.0,293.0,True,0.0210330776605944,,2.0899292446234304e-05,2.88733093126324e-06,6.456268235842377e-06,9.646948069187664e-06,87,5,137.74062583923342,160.2020046234131
A1-LCD-2K,293.0,293.0,True,0.0140508482475764,0.0012177290997782626,7.558300580198389e-06,2.2058575521244915e-06,4.932447435231649e-06,6.090109519320563e-06,91,5,138.17637687683106,160.62231864929197
A1-LCD-6R,298.0,298.0,True,0.0621476510067114,,2.5635864782316097e-05,2.2904893920494095e-06,5.121689982364647e-06,1.1872936131470526e-05,94,5,137.73470792770385,160.33824934005736
A1-LCD+8D,293.0,293.0,True,0.13873,,0.00010022269929869758,3.7924937718434326e-05,8.480273878086494e-05,8.813896778384978e-05,17,5,138.16181716918948,160.71157669067384
A1-LCD+NLS,293.0,293.0,True,0.0734060402684563,,4.7397372262773715e-05,3.885690790397924e-06,8.688668746874645e-06,1.3326158150305266e-05,100,5,137.69872851371764,160.31932948112487
A1-LCD+7K+12D,293.0,293.0,True,0.2704418344519015,,0.0004719517274939173,1.8458200702871005e-06,4.127379151395397e-06,1.823521971138944e-05,100,5,142.66072723388672,165.50479217529298
A1-LCD-3R+3K,293.0,293.0,True,0.5950782997762863,,0.0004338869099756691,5.96616309132687e-06,1.3340746237057168e-05,3.1791887327168306e-05,100,5,139.56631209135054,162.44295490980147
A1-LCD-10G+10S,293.0,293.0,True,0.2681048258229466,,0.00031252399026763985,5.9879237903285116e-06,1.338940463926275e-05,3.6450947979609726e-05,100,5,139.51527843475344,162.2967710494995
A1-LCD+2R,289.0,289.0,True,0.0955,,8.021665079868825e-05,7.369361870760524e-06,1.647839409381555e-05,2.454957712742778e-05,69,5,137.4657257795334,160.08642680644988
A1-LCD+12D,293.0,293.0,True,0.529269202087994,,9.084733919770415e-05,9.977211363415781e-06,2.2309722834481045e-05,2.4283411593970164e-05,39,5,139.05689113616944,161.90104122161864
A1-LCD+12E,285.0,285.0,True,0.4781497864551556,,0.00046772977170368073,3.940062761214984e-06,8.810248169692228e-06,1.4982968433427475e-05,47,5,137.7379886507988,160.55411957502366
